t,v
0,0.02
79,1.49
160,2.49
240,3.21
321,3.70
402,4.04
482,4.28
563,4.47
644,4.59
723,4.68
804,4.76
885,4.79
965,4.83
1046,4.86
1127,4.88
1208,4.88
1288,4.90
1369,4.90
1449,4.92
1529,4.93
1610,4.92
1691,4.93
1771,4.94
1852,4.93
1933,4.93
2014,4.94
2094,4.93
2174,4.94
2255,4.94
2335,4.93
2416,4.94
2497,4.95
2578,4.95
2658,4.94
2739,4.94
2820,4.95
2899,4.94
2980,4.94
3061,4.94
3141,4.94
3222,4.95
3303,4.94
3384,4.94
3464,4.94
3545,4.95
3625,4.94
3705,4.94
3786,4.95
3867,4.95
3948,4.95
4028,4.95
4109,4.94
4190,4.94
4270,4.95
4350,4.95
4431,4.95
4511,4.94
4592,4.95
4673,4.95
4754,4.94
4834,4.94
4915,4.94
4996,4.95
5075,4.95
5156,4.94
5237,4.95
5318,4.94
5398,4.95
5479,4.95
5560,4.94
5640,4.95
5721,4.94
5801,4.96
5882,4.95
5962,4.95
6043,4.94
6124,4.95
6204,4.94
6285,4.96
6366,4.95
6446,4.94
6526,4.94
6607,4.94
6688,4.94
6768,4.94
6849,4.94
6930,4.95
7010,4.95
7091,4.94
7172,4.94
7252,4.94
7332,4.94
7413,4.95
7494,4.96
7574,4.94
7655,4.94
7736,4.95
7816,4.95
7897,4.95
7977,4.95
8058,4.94
8138,4.94
8219,4.95
8300,4.94
8380,4.94
8461,4.94
8542,4.94
8623,4.95
8702,4.95
8783,4.95
8864,4.95
8944,4.94
9025,4.95
9106,4.94
9187,4.94
9267,4.95
9348,4.94
9428,4.95
9508,4.95
9589,4.95
9670,4.95
9750,4.94
9831,4.94
9912,4.95
9993,4.94
10073,4.95
